ὁ,él; la; los; las
συγκοινωνέω,compartir; asociarse con
καλῶς,bien; bueno
ἐνδυναμόω,fortalecer
ἰσχύω,ser fuerte; ser capaz de
ὑστερέω,tener necesidad; fallar
πεινάω,tener hambre
χορτάζω,saciarse; estar satisfecho; hacer saciar
μυέω,ser iniciado; conocer el secreto
αὐτάρκης,contentamiento
ὑστέρησις,necesidad
ἀκαιρέομαι,faltar la oportunidad
ἀναθάλλω,avivar
ποτέ,cuando; nunca
μεγάλως,grandemente
πράσσω,hacer; lograr; pasar
παραλαμβάνω,recibir; tomar; traer con; recibir de
ἀρετή,virtud
εὔφημος,comendatorio; digno de alabanza
προσφιλής,amable
ἁγνός,puro; santo
σεμνός,honorable
ἀληθής,verdadero; justo; veraz; honesto
νόημα,mente; percepción; pensamiento
φρουρέω,observar
νοῦς,mente; entendimiento
αἴτημα,solicitar; pedir; petición
εὐχαριστία,eucaristía; gratitud
προσευχή,oración
ἐγγύς,cerca
ἐπιεικής,gentil; justo
εἶπον,decir; hablar
βίβλος,libro
Κλήμης,Clemente
συλλαμβάνω,arrestar; tomar; apoderarse de; prender
σύζυγος,colaborador; compañero
γνήσιος,verdadero; genuino; legítimo
ἐρωτάω,preguntar; solicitar; pedir
ναί,sí
Συντύχη,Síntique
Εὐοδία,Evodia
στέφανος,corona; guirnalda
ἐπιπόθητος,anhelo profundo
ὑποτάσσω,someter; subordinar
δύναμαι,ser apto
ἐνέργεια,acción; trabajo; función
σύμμορφος,conformado a
ταπείνωσις,humillación; humildad
μετασχηματίζω,cambiar; transformar
ἀπεκδέχομαι,aguardar ansiosamente
σωτήρ,salvador; redentor
οὐρανός,cielo
πολίτευμα,ciudadanía
αἰσχύνη,vergüenza; deshonor
κοιλία,vientre; matriz; estómago
τέλος,terminar; completar; fin
ἐχθρός,enemigo; ser enemigo de
κλαίω,llorar
πολλάκις,muchas veces; frecuente; frecuentemente
τύπος,tipo; patrón
συμμιμητής,imitar juntos
στοιχέω,prosperar
φθάνω,preceder; anteceder
ἀποκαλύπτω,revelar
ἑτέρως,de lo contrario; de forma diferente
τέλειος,perfecto; genuino; completo; maduro
κλῆσις,"llamado, vocación"
ἄνω,arriba
βραβεῖον,premio
σκοπός,meta
ἐπεκτείνομαι,extenderse hacia
ἔμπροσθεν,delante de; al frente de; delante
ἐπιλανθάνομαι,olvidar; descuidar
ὀπίσω,atrás; tras; detrás; después
ἐμαυτοῦ,mi; de mí mismo
τελειόω,terminar; perfeccionar; completar
