μάρτυς	mártir; testigo
χάραγμα	señal; marca
ἁρπάζω	arrebatar; robar
ἐνιαυτός	año; era; un largo período de tiempo
ἕξ	seis
ὀξύς	agudo; rápido
ὑποκάτω	bajo; debajo
θερισμός	siega; cosecha
κράτος	poder; fortaleza; hecho poderoso
λαμπρός	brillante; claro
λιμός	hambre; hambruna
μαργαρίτης	perla
παιδεύω	entrenar; enseñar; educar; disciplinar
στηρίζω	fortalecer; soportar; establecer
στολή	capa; túnica larga
φωτίζω	brillar; iluminar; alumbrar
ψευδοπροφήτης	falso profeta
ἀναπαύω	descansar; cesar; parar
ἀνατολή	oriente; este; acto de levantar
ἔσωθεν	interior; de adentro
ἕβδομος	séptimo
ᾅδης	Hades
αὐλή	patio
δεῦτε	ven
θεῖον	azufre; divino
καταβολή	edificio; fundamento
κολλάω	unir; unificar; juntar
πενθέω	lamentación; gemir; estar triste
πιάζω	prender; arrestar
πολεμέω	luchar; hacer guerra
πορνεύω	fornicar; acto de inmoralidad sexual
σύνδουλος	consiervo
σελήνη	luna
ψεύδομαι	mentir
ψεῦδος	mentira
ἀρχαῖος	antiguo
ἀστραπή	relámpago
ἔλαιον	aceite de oliva
ὀδούς	diente
ὑψηλός	alto; arrogante; muy valioso
ῥομφαία	espada
βίβλος	libro
βασανισμός	tormento; tortura
γνώμη	decisión; propósito; opinión
δάκρυον	lágrima
δικαίωμα	ordenanza; regulación; acto de justicia
εἴδωλον	ídolo
κοσμέω	ordenar; adornar
νύμφη	novia; nuera
νῆσος	isla
πόρνος	fornicario
πατάσσω	golpear; herir; derribar
πλατεῖα	calle ancha; ruta espaciosa
στράτευμα	ejército
σφόδρα	gran; muy; sobremanera; extremadamente
χρυσός	oro
ἀγαλλιάω	regocijarse; estar extremadamente alegre
ἀφαιρέω	tomar; quitar; abolir
ἅλυσις	cadena
ἐπιπίπτω	caer sobre
ἑξήκοντα	sesenta
ἰσχύς	fuerza; fortaleza; poder
ᾠδή	canto; canción
γωνία	esquina; ángulo; rincón
δεσπότης	señor; amo
δεῦρο	venir, el tiempo presente; hasta ahora
δωρεάν	gratuitamente; gratis; sin causa
εἰδωλόθυτος	sacrificado a ídolos
κύκλῳ	alrededor
κλητός	llamado; invitado
λαμπάς	antorcha; lámpara
μυριάς	innumerable; diez mil
παρεμβολή	campamento
τρέφω	alimentar; criar
φρέαρ	pozo; pozo de agua
ἄμπελος	vid
ἄρσην	varón
ἐντεῦθεν	de aquí; de lugar
ἔνατος	noveno
βύσσινος	lino fino
γαστήρ	vientre; estómago
γεμίζω	llenar
διακόσιοι	doscientos
εὐώνυμος	izquierdo
ζώνη	cinto
θυμίαμα	ofrenda de incienso
κόκκινος	escarlata; rojo
κόπτω	cortar; lamentar
κινέω	mover; remover; poner en movimiento
κλίνη	cama; lecho
κλείς	llave; aquello que sirve para cerrar
κρούω	llamar; golpear
οὐρά	cola
πέτομαι	volar
πτῶμα	cadáver; caída; cuerpo muerto
Σόδομα	Sodoma
τάχος	rápido; repentino; veloz
φόνος	asesinato; homicidio
φθείρω	destruir; arruinar
φλόξ	llama
ἀπαρχή	primicias
ὀργίζω	airado; estar muy enojado
ὅσιος	santo; devoto
αἰνέω	alabar; contar o hablar de
βδέλυγμα	abominación; lo detestable
βοηθέω	ayudar
δέκατος	décima parte
διαφθείρω	destruir; arruinar
εἰδωλολάτρης	idólatra
Λευί	Leví
ληνός	lagar
μνῆμα	tumba; memorial; sepulcro
πένθος	pena; tristeza
πρωτότοκος	primogénito
σιδηροῦς	hierro
σκηνόω	habitar; establecerse; acampar
στάδιον	estadio; arena
φονεύς	homicida; asesino
ἀήρ	aire; cielo
ἄμωμος	irreprensible; sin mancha; sin defecto
Ἑβραϊστί	en hebreo
ἔμπορος	mercader; comerciante
ἴσος	igual
ὄπισθεν	después; detrás; desde atrás
βρέχω	llover; mojar
θώραξ	coraza
θαυμαστός	maravilloso
καταπίνω	tragar
